SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Fri Oct 24 10:18:07 CEST 2014
User: opid29s
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: QEPB0157
Integration Time (usec): 700000 (QEPB0157)
Spectra Averaged: 1 (QEPB0157)
Boxcar Smoothing: 0 (QEPB0157)
Correct for Electrical Dark: Yes (QEPB0157)
Strobe/Lamp Enabled: No (QEPB0157)
Correct for Detector Non-linearity: No (QEPB0157)
Correct for Stray Light: No (QEPB0157)
Number of Pixels in Processed Spectrum: 1044
>>>>>Begin Processed Spectral Data<<<<<
199.56	0.638
200.36	0.704
201.16	0.654
201.96	0.678
202.76	0.777
203.56	0.742
204.36	0.673
205.16	0.663
205.96	0.672
206.76	0.745
207.55	0.699
208.35	0.977
209.15	0.690
209.95	0.800
210.75	0.810
211.55	0.748
212.35	0.767
213.15	0.847
213.94	0.906
214.74	0.901
215.54	0.880
216.34	0.840
217.14	0.952
217.94	0.872
218.73	0.971
219.53	1.037
220.33	1.105
221.13	1.083
221.93	1.133
222.72	1.169
223.52	1.191
224.32	1.265
225.12	1.303
225.91	1.424
226.71	1.495
227.51	1.512
228.31	1.481
229.10	1.507
229.90	1.607
230.70	1.638
231.49	1.685
232.29	1.823
233.09	1.816
233.89	1.953
234.68	1.948
235.48	1.943
236.28	2.043
237.07	2.069
237.87	2.113
238.67	2.189
239.46	2.133
240.26	2.208
241.05	2.214
241.85	2.224
242.65	2.270
243.44	2.313
244.24	2.435
245.03	2.396
245.83	2.379
246.63	2.551
247.42	2.500
248.22	2.458
249.01	2.493
249.81	2.634
250.60	2.492
251.40	2.510
252.19	2.481
252.99	2.537
253.78	2.415
254.58	2.544
255.37	2.480
256.17	2.381
256.96	2.516
257.76	2.474
258.55	2.409
259.35	2.391
260.14	2.641
260.94	2.528
261.73	2.464
262.53	2.639
263.32	2.641
264.12	2.577
264.91	2.695
265.70	2.649
266.50	2.484
267.29	2.571
268.09	2.567
268.88	2.531
269.67	2.440
270.47	2.482
271.26	2.510
272.05	2.446
272.85	2.529
273.64	2.668
274.44	2.519
275.23	2.502
276.02	2.571
276.81	2.561
277.61	2.462
278.40	2.428
279.19	2.477
279.99	2.357
280.78	2.353
281.57	2.471
282.37	2.440
283.16	2.456
283.95	2.512
284.74	2.449
285.54	2.389
286.33	2.547
287.12	2.491
287.91	2.440
288.70	2.416
289.50	2.522
290.29	2.503
291.08	2.455
291.87	2.462
292.66	2.476
293.46	2.431
294.25	2.499
295.04	2.424
295.83	2.684
296.62	2.424
297.41	2.460
298.21	2.496
299.00	2.409
299.79	2.499
300.58	2.513
301.37	2.446
302.16	2.404
302.95	2.340
303.74	2.485
304.53	2.431
305.32	2.423
306.12	2.403
306.91	2.431
307.70	2.496
308.49	2.353
309.28	2.493
310.07	2.413
310.86	2.453
311.65	2.428
312.44	2.346
313.23	2.422
314.02	2.397
314.81	2.377
315.60	2.392
316.39	2.434
317.18	2.443
317.97	2.314
318.76	2.264
319.55	2.402
320.34	2.318
321.13	2.306
321.91	2.238
322.70	2.307
