sep=;
Time;Surface Temp;Air Temp;Dewpoint;Humidity
2019-01-15T11:25:00.000Z;26.379999;27.73842225;22.29758725;80.999466
2019-01-15T11:25:30.000Z;26.425998100000005;27.7432289;22.297621;81.00465400000002
2019-01-15T11:26:00.000Z;26.397998300000005;27.745899199999997;22.3000473;81.08796777777779
2019-01-15T11:26:30.000Z;26.456666000000002;27.73174677777777;22.286243;80.97520440000001
2019-01-15T11:27:00.000Z;26.4099979;27.7571143;22.2993595;80.8332976
2019-01-15T11:27:30.000Z;26.407995800000002;27.7616539;22.2938184;80.86976622222222
2019-01-15T11:28:00.000Z;26.407773444444445;27.763493444444446;22.297704111111113;80.6427093
2019-01-15T11:28:30.000Z;26.395993300000004;27.7712671;22.296721899999998;80.77653210000001
2019-01-15T11:29:00.000Z;26.3899966;27.7619209;22.2931012;80.95029888888888
2019-01-15T11:29:30.000Z;26.458893777777778;27.74480155555555;22.271187222222224;80.79011240000001
2019-01-15T11:30:00.000Z;26.382000899999998;27.7501717;22.286374000000002;80.61966779999999
2019-01-15T11:30:30.000Z;26.399994100000004;27.72507109999999;22.269463199999997;80.75769555555556
2019-01-15T11:31:00.000Z;26.38777088888889;27.74272466666666;22.275256888888887;80.6674295
2019-01-15T11:31:30.000Z;26.407995900000003;27.733348899999992;22.2641092;80.7612722
2019-01-15T11:32:00.000Z;26.411996600000002;27.741626999999994;22.269172599999997;80.87603933333334
2019-01-15T11:32:30.000Z;26.42333055555556;27.743911333333326;22.266086666666666;80.9077607
2019-01-15T11:33:00.000Z;26.407995800000002;27.746433399999994;22.2694774;80.8714431
2019-01-15T11:33:30.000Z;26.351996200000002;27.715457899999997;22.2520037;80.93300555555555
2019-01-15T11:34:00.000Z;26.32777333333333;27.70890088888889;22.246836444444444;80.7878242
2019-01-15T11:34:30.000Z;26.39599340000001;27.729610599999994;22.259546800000003;80.8865501
2019-01-15T11:35:00.000Z;26.359994700000005;27.71839529999999;22.2485723;80.76668022222223
2019-01-15T11:35:30.000Z;26.358884333333336;27.70919755555555;22.245460888888886;80.6593414
2019-01-15T11:36:00.000Z;26.359994699999998;27.711452499999996;22.243506;80.8192574
2019-01-15T11:36:30.000Z;26.385998899999997;27.7042425;22.2402655;80.7753288888889
2019-01-15T11:37:00.000Z;26.40555588888889;27.69940633333333;22.233476888888887;80.73441690000001
2019-01-15T11:37:30.000Z;26.3499972;27.6868852;22.222767299999997;80.75243988888889
2019-01-15T11:38:00.000Z;26.359994699999998;27.693027099999995;22.226476499999997;80.793165
2019-01-15T11:38:30.000Z;26.325552444444444;27.694362444444444;22.227515666666665;80.67078410000002
2019-01-15T11:39:00.000Z;26.383993800000002;27.6895558;22.2227617;80.57695944444444
2019-01-15T11:39:30.000Z;26.383325444444445;27.674185777777776;22.212465333333334;80.4554825
2019-01-15T11:40:00.000Z;26.3959964;27.6636524;22.2055318;80.43686600000001
2019-01-15T11:40:30.000Z;26.3699924;27.652437100000004;22.202016399999998;80.50219144444445
2019-01-15T11:41:00.000Z;26.33221877777778;27.671218444444445;22.205759222222223;80.4213028
2019-01-15T11:41:30.000Z;26.365994399999998;27.6620504;22.1969468;80.50980369999999
2019-01-15T11:42:00.000Z;26.353994900000004;27.675669499999998;22.2076604;80.57255133333334
2019-01-15T11:42:30.000Z;26.396668444444444;27.665284444444445;22.203071555555553;80.47440350000001
2019-01-15T11:43:00.000Z;26.337997900000005;27.6527043;22.1927295;80.4846268
2019-01-15T11:43:30.000Z;26.348001399999998;27.659379899999998;22.200735399999996;80.50236077777778
2019-01-15T11:44:00.000Z;26.309998555555556;27.660537;22.19940088888889;80.5384904
2019-01-15T11:44:30.000Z;26.2879977;27.6596473;22.196755199999995;80.5961685
2019-01-15T11:45:00.000Z;26.319998400000003;27.6636525;22.1896275;80.59154
2019-01-15T11:45:30.000Z;26.270000333333332;27.66973488888889;22.194687666666663;80.504158
2019-01-15T11:46:00.000Z;26.235998900000006;27.652704300000003;22.183321199999998;80.4634169
2019-01-15T11:46:30.000Z;26.241998800000005;27.623865300000006;22.164556700000002;80.23837955555555
2019-01-15T11:47:00.000Z;26.318892888888893;27.622856333333335;22.16661811111111;80.27329030000001
2019-01-15T11:47:30.000Z;26.238003899999995;27.633745300000005;22.164808299999997;80.3118958
2019-01-15T11:48:00.000Z;26.295999500000004;27.6252004;22.1553549;80.26228588888888
2019-01-15T11:48:30.000Z;26.309998777777775;27.620186111111114;22.158695111111108;80.20675960000001
2019-01-15T11:49:00.000Z;26.277994200000002;27.631075100000004;22.170679999999997;80.194857
2019-01-15T11:49:30.000Z;26.326001400000003;27.6238652;22.1628214;80.17140877777778
2019-01-15T11:50:00.000Z;26.312219666666667;27.612175111111114;22.153587555555553;80.2914483
2019-01-15T11:50:30.000Z;26.2760013;27.606241300000004;22.144825700000002;80.2848862
2019-01-15T11:51:00.000Z;26.2920018;27.615587300000005;22.138799499999998;80.26449011111112
2019-01-15T11:51:30.000Z;26.258898777777777;27.62463655555556;22.140587888888888;80.23407359999999
2019-01-15T11:52:00.000Z;26.285995800000002;27.608911600000006;22.1342309;80.14892669999999
2019-01-15T11:52:30.000Z;26.313995800000004;27.600633600000002;22.129514600000004;80.14055133333333
2019-01-15T11:53:00.000Z;26.35666666666667;27.582208666666663;22.116103555555554;80.22094960000001
2019-01-15T11:53:30.000Z;26.2760013;27.608911600000006;22.126032799999997;80.20023177777779
2019-01-15T11:54:00.000Z;26.2440067;27.612916900000005;22.135471599999995;80.05142219999999
