sep=;
Time;Surface Temp;Air Temp;Dewpoint
2019-01-14T17:13:30.000Z;25.980005;28.436712;22.257704500000003
2019-01-14T17:14:00.000Z;25.94999633333333;28.461636666666667;22.270096
2019-01-14T17:14:30.000Z;25.969995666666666;28.461636666666667;22.263330999999997
2019-01-14T17:15:00.000Z;25.9200075;28.4233605;22.2387965
2019-01-14T17:15:30.000Z;25.956669333333334;28.423361;22.250082000000003
2019-01-14T17:16:00.000Z;25.996657666666668;28.428702;22.24685433333333
2019-01-14T17:16:30.000Z;25.999994;28.4380485;22.2515545
2019-01-14T17:17:00.000Z;26.023330333333334;28.409119333333333;22.2407
2019-01-14T17:17:30.000Z;26.010004;28.41445966666667;22.24604533333333
2019-01-14T17:18:00.000Z;25.960001;28.401998499999998;22.226001500000002
2019-01-14T17:18:30.000Z;26.036666333333333;28.400218;22.215188333333334
2019-01-14T17:19:00.000Z;25.936670000000003;28.436712;22.224786666666663
2019-01-14T17:19:30.000Z;25.90999766666667;28.410009;22.226469666666663
2019-01-14T17:20:00.000Z;25.97999;28.4300365;22.237747
2019-01-14T17:20:30.000Z;25.97666866666667;28.418910333333333;22.22554866666667
2019-01-14T17:21:00.000Z;25.923323666666665;28.436712;22.223456666666667
2019-01-14T17:21:30.000Z;25.859995;28.410009;22.2072085
2019-01-14T17:22:00.000Z;25.956659333333334;28.409119333333333;22.205935333333333
2019-01-14T17:22:30.000Z;25.923323666666665;28.43315266666667;22.215097
2019-01-14T17:23:00.000Z;25.969995;28.436712;22.220192500000003
2019-01-14T17:23:30.000Z;25.876662666666665;28.414460666666667;22.200880333333334
2019-01-14T17:24:00.000Z;25.903335;28.353933;22.179070999999997
2019-01-14T17:24:30.000Z;25.989994333333332;28.380636;22.191177333333332
2019-01-14T17:25:00.000Z;25.889993500000003;28.3739605;22.1803965
2019-01-14T17:25:30.000Z;25.869989;28.362834333333335;22.170435666666663
2019-01-14T17:26:00.000Z;25.909997666666666;28.37084533333333;22.185328666666667
2019-01-14T17:26:30.000Z;25.9800055;28.387312;22.1677695
2019-01-14T17:27:00.000Z;25.936670000000003;28.381525999999997;22.182246333333335
2019-01-14T17:27:30.000Z;25.929987;28.367285;22.170097
2019-01-14T17:28:00.000Z;25.889993500000003;28.3739605;22.178947
2019-01-14T17:28:30.000Z;25.849990000000002;28.371735333333334;22.172897333333335
2019-01-14T17:29:00.000Z;25.903324666666666;28.343252333333336;22.166217
2019-01-14T17:29:30.000Z;25.903324666666666;28.353933;22.162177
2019-01-14T17:30:00.000Z;25.829996;28.360609;22.151341000000002
2019-01-14T17:30:30.000Z;25.863326;28.348592666666665;22.15176633333333
2019-01-14T17:31:00.000Z;25.849990000000002;28.343252333333336;22.14569966666667
2019-01-14T17:31:30.000Z;25.9500065;28.337912;22.1483265
2019-01-14T17:32:00.000Z;25.956659000000002;28.367284666666666;22.163454333333334
2019-01-14T17:32:30.000Z;25.78332933333333;28.338801;22.14977466666667
2019-01-14T17:33:00.000Z;25.730005;28.2898445;22.1301005
2019-01-14T17:33:30.000Z;25.93666;28.291625333333332;22.133664999999997
2019-01-14T17:34:00.000Z;25.85666333333333;28.292514666666666;22.128732666666668
2019-01-14T17:34:30.000Z;25.863326333333333;28.273822666666664;22.122324333333335
2019-01-14T17:35:00.000Z;25.9800055;28.2618065;22.1226435
2019-01-14T17:35:30.000Z;25.923323666666665;28.282724333333334;22.128899333333333
2019-01-14T17:36:00.000Z;25.929997;28.287174333333336;22.108078666666668
2019-01-14T17:36:30.000Z;25.889993500000003;28.331236;22.123659
2019-01-14T17:37:00.000Z;25.903324666666666;28.337912;22.13794466666667
2019-01-14T17:37:30.000Z;25.923334;28.311207333333332;22.123068333333332
2019-01-14T17:38:00.000Z;25.929987;28.331236;22.1252895
2019-01-14T17:38:30.000Z;25.903324333333334;28.315658333333335;22.112470333333334
2019-01-14T17:39:00.000Z;25.923323666666665;28.311207333333332;22.107735
2019-01-14T17:39:30.000Z;25.816665;28.311207;22.083444333333333
2019-01-14T17:40:00.000Z;25.8399905;28.311207;22.098555
2019-01-14T17:40:30.000Z;25.80332866666667;28.301416;22.09621366666667
2019-01-14T17:41:00.000Z;25.843327;28.296965333333333;22.091964333333333
2019-01-14T17:41:30.000Z;25.869989;28.3178835;22.103842
2019-01-14T17:42:00.000Z;25.869999333333336;28.33880166666667;22.10930466666667
2019-01-14T17:42:30.000Z;25.876662666666665;28.334351;22.104448666666666
2019-01-14T17:43:00.000Z;25.8399905;28.331236;22.093553
2019-01-14T17:43:30.000Z;25.843327000000002;28.302305666666665;22.080026000000004
2019-01-14T17:44:00.000Z;25.810001999999997;28.30675633333333;22.081735666666663
2019-01-14T17:44:30.000Z;25.850000333333337;28.30675666666667;22.083671
2019-01-14T17:45:00.000Z;25.829996;28.297855;22.087077
2019-01-14T17:45:30.000Z;25.869999333333336;28.301416333333336;22.083286666666666
2019-01-14T17:46:00.000Z;25.88332533333333;28.30675633333333;22.080404666666663
2019-01-14T17:46:30.000Z;25.8200015;28.311207500000002;22.0682635
2019-01-14T17:47:00.000Z;25.80332866666667;28.29251533333333;22.06475066666667
2019-01-14T17:47:30.000Z;25.863326;28.259581333333333;22.05542266666667
2019-01-14T17:48:00.000Z;25.859995;28.2898445;22.064383
2019-01-14T17:48:30.000Z;25.850000333333337;28.310318;22.06929
2019-01-14T17:49:00.000Z;25.869989333333336;28.277383333333333;22.05055066666667
2019-01-14T17:49:30.000Z;25.823327666666668;28.25068033333333;22.045237
