sep=;
Time;Dewpoint;Air;Cletus Globe
2019-01-14T17:54:00.000Z;24.040949;27.2185096;26.27784093
2019-01-14T17:54:30.000Z;24.05690767;27.2185096;26.27784093
2019-01-14T17:55:00.000Z;24.04663;27.2163734;26.25843647
2019-01-14T17:55:30.000Z;24.02049533;27.2163734;26.25843647
2019-01-14T17:56:00.000Z;24.040339;27.2414744;26.25416427
2019-01-14T17:56:30.000Z;24.05057567;27.2414744;26.25416427
2019-01-14T17:57:00.000Z;24.025604;27.2521552;26.2354724
2019-01-14T17:57:30.000Z;24.03097467;27.2521552;26.2354724
2019-01-14T17:58:00.000Z;24.0199535;27.2446788;26.241703
2019-01-14T17:58:30.000Z;24.023193;27.2446788;26.241703
2019-01-14T17:59:00.000Z;24.03517;27.2526894;26.24081293
2019-01-14T17:59:30.000Z;24.012237;27.2526894;26.24081293
2019-01-14T18:00:00.000Z;24.035786;27.2468148;26.24739953
2019-01-14T18:00:30.000Z;24.02594567;27.2468148;26.24739953
2019-01-14T18:01:00.000Z;24.036633;27.170977;26.22224814
2019-01-14T18:01:30.000Z;24.017737;27.170977;26.22224814
2019-01-14T18:02:00.000Z;24.02436;27.1432056;26.1939928
2019-01-14T18:02:30.000Z;24.034349;27.1432056;26.1939928
2019-01-14T18:03:00.000Z;24.0060015;27.1464106;26.1802848
2019-01-14T18:03:30.000Z;24.02906833;27.1464106;26.1802848
2019-01-14T18:04:00.000Z;24.025731;27.16763875;26.1671112
2019-01-14T18:04:30.000Z;24.0219655;27.16763875;26.1671112
2019-01-14T18:05:00.000Z;23.99000533;27.1522846;26.16746727
2019-01-14T18:05:30.000Z;23.987104;27.1522846;26.16746727
2019-01-14T18:06:00.000Z;24.002244;27.1939424;26.1713838
2019-01-14T18:06:30.000Z;24.0107995;27.1939424;26.1713838
2019-01-14T18:07:00.000Z;23.970175;27.1346612;26.18117513
2019-01-14T18:07:30.000Z;23.9494115;27.1346612;26.18117513
2019-01-14T18:08:00.000Z;23.93563067;27.1154346;26.17903887
2019-01-14T18:08:30.000Z;23.9733005;27.1154346;26.17903887
2019-01-14T18:09:00.000Z;23.97361067;27.1122304;26.15607373
2019-01-14T18:09:30.000Z;23.9892605;27.1122304;26.15607373
2019-01-14T18:10:00.000Z;23.99373033;27.0871294;26.14806293
2019-01-14T18:10:30.000Z;24.0122715;27.0871294;26.14806293
2019-01-14T18:11:00.000Z;24.005092;27.1405356;26.13908571
2019-01-14T18:11:30.000Z;24.038332;27.1405356;26.13908571
2019-01-14T18:12:00.000Z;24.05166767;27.1432056;26.13577967
2019-01-14T18:12:30.000Z;24.0243605;27.1432056;26.13577967
2019-01-14T18:13:00.000Z;24.014294;27.1042196;26.1331094
2019-01-14T18:13:30.000Z;24.0106715;27.1042196;26.1331094
2019-01-14T18:14:00.000Z;24.01892467;27.1095602;26.1331094
2019-01-14T18:14:30.000Z;24.0317315;27.1095602;26.1331094
2019-01-14T18:15:00.000Z;24.03428567;27.154421;26.1347116
2019-01-14T18:15:30.000Z;24.0452625;27.154421;26.1347116
2019-01-14T18:16:00.000Z;24.004488;27.118105;26.12901487
2019-01-14T18:16:30.000Z;23.990062;27.118105;26.12901487
2019-01-14T18:17:00.000Z;24.00265467;27.0759138;26.12153813
2019-01-14T18:17:30.000Z;24.0155255;27.0759138;26.12153813
2019-01-14T18:18:00.000Z;24.01898033;27.0310518;26.10800867
2019-01-14T18:18:30.000Z;24.024124;27.0310518;26.10800867
2019-01-14T18:19:00.000Z;23.99963867;27.0315858;26.0944792
2019-01-14T18:19:30.000Z;23.999884;27.0315858;26.0944792
2019-01-14T18:20:00.000Z;24.017734;27.0764476;26.0891388
2019-01-14T18:20:30.000Z;24.02302;27.0764476;26.0891388
2019-01-14T18:21:00.000Z;24.01766533;27.0898;26.07792333
2019-01-14T18:21:30.000Z;24.0088215;27.0898;26.07792333
2019-01-14T18:22:00.000Z;24.02603033;27.0700392;26.07480771
2019-01-14T18:22:30.000Z;24.0116815;27.0700392;26.07480771
