sep=;
Time;Surface Temp;Air Temp;Dewpoint;Supply;Return
2019-01-14T17:46:30.000Z;26.10999;27.85102133;23.36782967;26.99517267;33.291588
2019-01-14T17:47:00.000Z;26.10333733;27.873274;23.382642;26.93567367;34.300692
2019-01-14T17:47:30.000Z;26.07666433;27.874164;23.37844167;26.94459467;36.56431333
2019-01-14T17:48:00.000Z;26.089991;27.83322;23.3564395;26.955011;36.459999
2019-01-14T17:48:30.000Z;26.083338;27.85102133;23.37365533;26.93715867;36.19873333
2019-01-14T17:49:00.000Z;26.083338;27.846571;23.356707;26.952041;37.037448
2019-01-14T17:49:30.000Z;26.050013;27.846571;23.3579725;26.892542;36.869621
2019-01-14T17:50:00.000Z;26.096664;27.83767033;23.354368;26.91782067;36.96803033
2019-01-14T17:50:30.000Z;26.063339;27.84212067;23.36757733;26.93120767;36.25005367
2019-01-14T17:51:00.000Z;26.089991;27.8532465;23.3632735;26.932703;35.9567945
2019-01-14T17:51:30.000Z;26.063339;27.84212067;23.354602;26.92228633;36.29139467
2019-01-14T17:52:00.000Z;26.06999167;27.83232967;23.349423;26.88659133;36.23312633
2019-01-14T17:52:30.000Z;26.04333967;27.83232967;23.35360033;26.91484;36.34020233
2019-01-14T17:53:00.000Z;26.070002;27.825209;23.340282;26.9126075;36.274132
2019-01-14T17:53:30.000Z;26.07666467;27.81274667;23.33619733;26.91632533;36.62894933
2019-01-14T17:54:00.000Z;26.03666633;27.81808733;23.33762633;26.92674167;36.89057667
2019-01-14T17:54:30.000Z;26.1000005;27.817198;23.337811;26.928232;36.8873825
2019-01-14T17:55:00.000Z;26.07001167;27.83767033;23.33456467;26.95053567;39.20789833
2019-01-14T17:55:30.000Z;26.05666567;27.817198;23.32258067;26.86875833;39.73520133
2019-01-14T17:56:00.000Z;25.980005;27.790493;23.304561;26.876932;39.4193035
2019-01-14T17:56:30.000Z;26.02334033;27.813637;23.32529233;26.90890933;39.90632367
2019-01-14T17:57:00.000Z;25.99666767;27.81274667;23.319706;26.90889933;39.772901
2019-01-14T17:57:30.000Z;26.05666533;27.80829533;23.31298133;26.873234;38.281405
2019-01-14T17:58:00.000Z;26.050013;27.810521;23.3165075;26.908152;35.934105
2019-01-14T17:58:30.000Z;25.98999467;27.81808733;23.31782867;26.88957133;36.14912167
2019-01-14T17:59:00.000Z;26.003331;27.81274667;23.313434;26.88956133;36.27889267
2019-01-14T17:59:30.000Z;26.050013;27.7971685;23.284282;26.9081515;38.6786575
2019-01-14T18:00:00.000Z;26.01001433;27.803845;23.29910433;26.86428233;37.98802967
2019-01-14T18:00:30.000Z;26.02334033;27.790493;23.28289;26.88957133;38.03542333
2019-01-14T18:01:00.000Z;25.980005;27.7838175;23.2951365;26.9081665;37.896355
2019-01-14T18:01:30.000Z;26.04333967;27.780702;23.28145267;26.885116;37.83329533
2019-01-14T18:02:00.000Z;26.02333033;27.771801;23.27174567;26.84347967;39.43862167
2019-01-14T18:02:30.000Z;25.97665833;27.77625167;23.28441133;26.85539167;40.09144367
2019-01-14T18:03:00.000Z;25.960001;27.747768;23.266703;26.890314;32.9127125
2019-01-14T18:03:30.000Z;25.99666767;27.76201;23.266788;26.85685667;32.81055933
2019-01-14T18:04:00.000Z;25.929997;27.75221867;23.25929933;26.85389633;32.302981
2019-01-14T18:04:30.000Z;25.9199925;27.7410925;23.265685;26.850168;31.674204
2019-01-14T18:05:00.000Z;25.969995;27.73886767;23.256829;26.81823167;31.862126
2019-01-14T18:05:30.000Z;25.956659;27.75666933;23.26536367;26.844965;32.07100733
